stage,duration_s,B_rms_pitch_deg,C_rms_pitch_deg,B_max_pitch_deg,C_max_pitch_deg,B_rms_current_A,C_rms_current_A
left leg,4.96,4.07,2.87,10.07,5.24,0.172,0.126
right leg,5.00,8.65,2.82,19.30,6.00,0.253,0.128
forward,2.99,2.96,3.44,7.65,7.10,0.101,0.123
reverse,2.99,4.53,2.31,8.68,4.65,0.184,0.130
spin +,5.00,3.22,1.25,11.62,4.23,0.122,0.102
spin -,4.99,2.94,1.41,10.93,4.56,0.138,0.105
sine legs fwd,3.99,6.77,3.77,13.19,10.84,0.242,0.189
sine legs rev,3.99,6.26,1.82,14.93,2.91,0.256,0.123
crossed hold,4.99,5.87,2.56,13.08,6.32,0.192,0.118
one-leg fwd,3.99,6.50,2.61,16.82,5.22,0.206,0.117
one-leg rev,3.99,3.68,1.72,8.08,3.82,0.204,0.127
