sequence,timestamp_us,time_s,flags,active_policy_id,active_policy_name,testbench_running,testbench_waiting,testbench_recovering,testbench_fall_count,testbench_stage,testbench_stage_name,dropped_frames,imu_read_last_us,encoder_read_last_us,observation_last_us,inference_last_us,action_last_us,motor_write_last_us,total_last_us,control_period_last_us,release_latency_last_us,rs485_cycle_last_us,imu_age_last_us,wheel_age_last_us,leg_age_last_us,imu_read_mean_us,encoder_read_mean_us,observation_mean_us,inference_mean_us,action_mean_us,motor_write_mean_us,total_mean_us,control_period_mean_us,release_latency_mean_us,rs485_cycle_mean_us,imu_age_mean_us,wheel_age_mean_us,leg_age_mean_us,imu_read_wcet_us,encoder_read_wcet_us,observation_wcet_us,inference_wcet_us,action_wcet_us,motor_write_wcet_us,total_wcet_us,control_period_wcet_us,release_latency_wcet_us,rs485_cycle_wcet_us,imu_age_wcet_us,wheel_age_wcet_us,leg_age_wcet_us,imu_read_jitter_us,encoder_read_jitter_us,observation_jitter_us,inference_jitter_us,action_jitter_us,motor_write_jitter_us,total_jitter_us,control_period_jitter_us,release_latency_jitter_us,rs485_cycle_jitter_us,imu_age_jitter_us,wheel_age_jitter_us,leg_age_jitter_us,pitch_rad,pitch_rate_radps,roll_rad,roll_rate_radps,yaw_rad,yaw_rate_radps,yaw_rate_world_radps,yaw_rate_from_quat_radps,wheel_left_logical_velocity_radps,wheel_right_logical_velocity_radps,position_m,velocity_mps,wheel_left_position_rad,wheel_right_position_rad,wheel_left_velocity_radps,wheel_right_velocity_radps,wheel_left_current_command_A,wheel_right_current_command_A,wheel_left_current_measured_A,wheel_right_current_measured_A,leg_0_angle_rad,leg_1_angle_rad,leg_2_angle_rad,leg_3_angle_rad,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,action_left,action_right,theta_deg,theta_initial_deg,theta_max_abs_deg,theta_rms_deg,current_rms_A,recovery_time_s,x_final_m,run_time_s
2021,34758000,34.757999999999996,3,0,point_mlp,0,0,0,0,0,idle,0,2282.261962890625,0.0,0.0,0.0,0.0,3.738095283508301,24.2738094329834,0.0,0.0,0.0,79.83333587646484,12220.2265625,11084014.0,2282.261962890625,0.0,0.0,0.0,0.0,3.738095283508301,24.2738094329834,0.0,0.0,0.0,79.83333587646484,12220.2265625,11084014.0,2282.261962890625,0.0,0.0,0.0,0.0,3.738095283508301,24.2738094329834,0.0,0.0,0.0,79.83333587646484,12220.2265625,11084014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8738718628883362,0.013671875,-0.07122153043746948,-0.0078125,2.61983060836792,0.00390625,-0.007864466868340969,0.0,0.0,-0.0,0.005930990446358919,0.0,-2.0599443912506104,-1.8250536918640137,-0.0,-0.0,0.0,0.0,0.0004916542093269527,-0.0014749625697731972,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0010993721662089229,0.014999999664723873,0.0,0.014999999664723873
2022,34773000,34.772999999999996,3,0,point_mlp,0,0,0,0,0,idle,0,2364.202392578125,1908.9166259765625,0.0,0.0,0.0,3.738095283508301,26.619047164916992,0.0,1117.761962890625,0.0,82.33333587646484,12361.654296875,11098994.0,2117.32666015625,2284.458251953125,0.0,0.0,0.0,3.738095283508301,25.446428298950195,0.0,1117.761962890625,0.0,81.08333587646484,12290.9404296875,11091504.0,2364.202392578125,2660.0,0.0,0.0,0.0,3.738095283508301,26.619047164916992,0.0,1117.761962890625,0.0,82.33333587646484,12361.654296875,11098994.0,230.57766723632812,531.0960693359375,0.0,0.0,0.0,0.0,1.6583335399627686,0.0,0.0,0.0,1.7677669525146484,100.00450897216797,10592.4599609375,0.8738718628883362,-0.00390625,-0.07122153043746948,0.015625,2.619866132736206,-0.001953125,0.013042529113590717,0.0,0.0,-0.0,0.0059261564165353775,0.0,-2.060136318206787,-1.825437068939209,-0.0,-0.0,0.0,0.0,0.0,0.0007374812848865986,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0008603947935625911,0.029999999329447746,-4.834029823541641e-06,0.029999999329447746
2023,34788000,34.788,3,0,point_mlp,0,0,0,0,0,idle,0,2572.15478515625,1896.0833740234375,0.0,0.0,0.0,3.738095283508301,26.559524536132812,15000.0,1367.40478515625,0.0,82.33333587646484,12850.25,11114244.0,2129.328857421875,2226.928466796875,0.0,0.0,0.0,3.738095283508301,25.817461013793945,15000.0,1242.5833740234375,0.0,81.5,12477.376953125,11099084.0,2572.15478515625,2660.0,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1367.40478515625,0.0,82.33333587646484,12850.25,11114244.0,270.1019592285156,385.0127258300781,0.0,0.0,0.0,0.0,1.337172031402588,0.0,176.52413940429688,0.0,1.4433761835098267,330.5694885253906,15115.201171875,0.8738718628883362,0.0078125,-0.07122153043746948,0.0,2.619866132736206,-0.001953125,0.0016089867567643523,0.0,0.0,-0.0,0.005935830529779196,0.0,-2.0599443912506104,-1.824862003326416,-0.0,-0.0,0.0,0.0,0.0004916542093269527,0.0,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0007306208717636764,0.044999998062849045,4.840083420276642e-06,0.044999998062849045
2024,34803000,34.803,3,0,point_mlp,0,0,0,0,0,idle,0,2527.5595703125,1861.3214111328125,0.0,0.0,0.0,3.738095283508301,26.5,15000.0,1349.09521484375,0.0,82.28571319580078,12973.3095703125,11129226.0,2114.85009765625,2136.77978515625,0.0,0.0,0.0,3.738095283508301,25.988096237182617,15000.0,1278.0872802734375,0.0,81.69642639160156,12601.3603515625,11106620.0,2572.15478515625,2660.0,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1367.40478515625,0.0,82.33333587646484,12973.3095703125,11129226.0,261.992919921875,334.7647399902344,0.0,0.0,0.0,0.0,1.1438899040222168,0.0,139.14732360839844,0.0,1.2422667741775513,366.52154541015625,19479.294921875,0.8738718628883362,-0.001953125,-0.07122153043746948,-0.00390625,2.620001792907715,0.001953125,-0.004333549179136753,0.0,0.0,-0.0,0.005916469730436802,0.0,-2.0597527027130127,-1.825437068939209,-0.0,-0.0,0.0,0.0,0.0004916542093269527,-0.0007374812848865986,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0007060845964588225,0.05999999865889549,-1.4520715922117233e-05,0.05999999865889549
2025,34818000,34.818,3,0,point_mlp,0,0,0,0,0,idle,0,2271.75,1855.892822265625,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13133.5830078125,11144272.0,2098.96142578125,2079.044677734375,0.0,0.0,0.0,3.738095283508301,26.114286422729492,15000.0,1307.3511962890625,0.0,81.82618713378906,12707.8046875,11114150.0,2572.15478515625,2660.0,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13133.5830078125,11144272.0,247.93612670898438,303.6272888183594,0.0,0.0,0.0,0.0,1.0300402641296387,0.0,127.80252075195312,0.0,1.1142761707305908,396.7439270019531,23835.279296875,0.8738718628883362,0.001953125,-0.07122153043746948,0.001953125,2.619866132736206,0.0,0.0015851831994950771,0.0,0.0,-0.0,0.005930996499955654,0.0,-2.0603280067443848,-1.825437068939209,-0.0,-0.0,0.0,0.0,0.0,0.0,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.000631541246548295,0.07499999552965164,6.05359673500061e-09,0.07499999552965164
2026,34833000,34.833,3,0,point_mlp,0,0,0,0,0,idle,0,2523.34521484375,1843.511962890625,0.0,0.0,0.0,3.738095283508301,26.440475463867188,15000.0,1180.0714111328125,0.0,82.28571319580078,12862.619140625,11159057.0,2095.247314453125,2044.14404296875,0.0,0.0,0.0,3.738095283508301,26.168651580810547,15000.0,1281.895263671875,0.0,81.90277099609375,12733.607421875,11121634.0,2572.15478515625,2660.0,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13133.5830078125,11159057.0,247.84291076660156,279.1849060058594,0.0,0.0,0.0,0.0,0.9308703541755676,0.0,124.45940399169922,0.0,1.0141417980194092,360.4430236816406,28117.740234375,0.8738718628883362,-0.0,-0.07122153043746948,0.0,2.619866132736206,0.00390625,-0.002504874486476183,0.0,0.0,-0.0,0.005935836583375931,0.0,-2.0603280067443848,-1.8252453804016113,-0.0,-0.0,0.0,0.0,0.0009833084186539054,0.0,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0006426079198718071,0.08999999612569809,4.8461370170116425e-06,0.08999999612569809
2027,34848000,34.848,3,0,point_mlp,0,0,0,0,0,idle,0,2483.119140625,2689.916748046875,0.0,0.0,0.0,3.738095283508301,26.440475463867188,15000.0,1167.238037109375,0.0,82.28571319580078,12993.8095703125,11174044.0,2100.744384765625,2097.331298828125,0.0,0.0,0.0,3.738095283508301,26.207483291625977,15000.0,1262.7857666015625,0.0,81.95747375488281,12770.779296875,11129121.0,2572.15478515625,2689.916748046875,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13133.5830078125,11174044.0,254.00267028808594,314.0107727050781,0.0,0.0,0.0,0.0,0.8559527397155762,0.0,120.76075744628906,0.0,0.9370267391204834,343.42120361328125,32422.859375,0.8738718628883362,-0.0,-0.07122153043746948,0.013671875,2.6199088096618652,-0.001953125,0.01172459963709116,0.0,0.0,-0.0,0.005930996499955654,0.0,-2.060136318206787,-1.8252453804016113,-0.0,-0.0,0.0,0.0,0.00024582710466347635,0.0,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0005985560128465295,0.10499999672174454,6.05359673500061e-09,0.10499999672174454
2028,34863000,34.863,3,0,point_mlp,0,0,0,0,0,idle,0,2483.880859375,1876.34521484375,0.0,0.0,0.0,3.738095283508301,26.5,15000.0,1189.40478515625,0.0,82.28571319580078,13218.3095703125,11189066.0,2101.397705078125,2063.67431640625,0.0,0.0,0.0,3.738095283508301,26.244047164916992,15000.0,1252.302734375,0.0,81.99850463867188,12826.720703125,11136614.0,2572.15478515625,2689.916748046875,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13218.3095703125,11189066.0,248.95018005371094,301.3064270019531,0.0,0.0,0.0,0.0,0.7991782426834106,0.0,113.67447662353516,0.0,0.8752459287643433,355.1411437988281,36745.625,0.8738718628883362,-0.0,-0.07122153043746948,-0.01171875,2.619866132736206,0.00390625,-0.01148114912211895,-0.014362038113176823,0.0,-0.0,0.005940676666796207,0.0,-2.0603280067443848,-1.8250536918640137,-0.0,-0.0,0.0,0.0,-0.00024582710466347635,0.0,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0005632606334984303,0.11999999731779099,9.686220437288284e-06,0.11999999731779099
2029,34878000,34.878,3,0,point_mlp,0,0,0,0,0,idle,0,2451.821533203125,1959.0357666015625,0.0,0.0,0.0,3.738095283508301,26.440475463867188,15000.0,1284.142822265625,0.0,82.28571319580078,12582.7138671875,11204161.0,2099.876220703125,2087.860107421875,0.0,0.0,0.0,3.738095283508301,26.265872955322266,15000.0,1256.28271484375,0.0,82.0304183959961,12799.6083984375,11144119.0,2572.15478515625,2689.916748046875,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13218.3095703125,11204161.0,246.50076293945312,308.05670166015625,0.0,0.0,0.0,0.0,0.7504247426986694,0.0,105.84246063232422,0.0,0.8242959380149841,342.01617431640625,41090.359375,0.8738718628883362,0.00390625,-0.07122153043746948,0.0,2.6198184490203857,0.001953125,-0.0010740880388766527,0.0,0.0,-0.0,0.005955202970653772,0.0,-2.061286687850952,-1.825437068939209,-0.0,-0.0,0.0,0.0,0.0,-0.0007374812848865986,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0005587724735960364,0.13499999046325684,2.421252429485321e-05,0.13499999046325684
2030,34893000,34.893,3,0,point_mlp,0,0,0,0,0,idle,0,2475.952392578125,2250.392822265625,0.0,0.0,0.0,3.738095283508301,26.440475463867188,15000.0,1260.2857666015625,0.0,82.28571319580078,12687.380859375,11219137.0,2098.42529296875,2110.454345703125,0.0,0.0,0.0,3.738095283508301,26.28333282470703,15000.0,1256.7275390625,0.0,82.05594635009766,12788.3857421875,11151621.0,2572.15478515625,2689.916748046875,0.0,0.0,0.0,3.738095283508301,26.619047164916992,15000.0,1395.142822265625,0.0,82.3452377319336,13218.3095703125,11219137.0,244.29417419433594,297.07672119140625,0.0,0.0,0.0,0.0,0.7096584439277649,0.0,99.01554870605469,0.0,0.7813356518745422,324.4030456542969,45426.69140625,0.8738718628883362,0.005859375,-0.07122153043746948,0.0,2.6198184490203857,-0.00390625,0.002771584317088127,0.0,0.0,-0.0,0.0059261564165353775,0.0,-2.060136318206787,-1.825437068939209,-0.0,-0.0,0.0,0.0,-0.00024582710466347635,0.0,0.14745689928531647,-0.15435905754566193,0.1597287505865097,-0.1524415910243988,-0.4989103078842163,0.30143582820892334,1.3476027250289917,0.267578125,-0.36199361085891724,0.9321805834770203,-0.06478039175271988,0.0,0.0,0.38389721512794495,0.4965641498565674,-0.1345289945602417,-0.013671875,0.6917741894721985,1.0079805850982666,50.06916809082031,50.06916809082031,50.06916809082031,50.06916809082031,0.0005329404375515878,0.14999999105930328,-4.834029823541641e-06,0.14999999105930328
