stage,condition,duration_s,rms_current_left_A,rms_current_right_A,mean_current_bias_A,rms_current_bias_A,rms_pitch_deg,max_abs_pitch_deg
left_leg,baseline,4.995999999999999,0.12161969251053496,0.13438754577229325,0.0037072787980979845,0.2514163485397351,2.871258124145387,5.2405510062646705
left_leg,bigger,4.995000000000001,0.12419101022623522,0.12358543740053393,-0.013953263170352836,0.2427283113348431,4.411513462486515,7.578740337005714
right_leg,baseline,4.996000000000002,0.12323748979725654,0.13740881883859668,0.010388770719124338,0.2546962493324704,2.8203205961318987,6.004179815850436
right_leg,bigger,4.996000000000002,0.13468606875034833,0.12664202668908509,0.02360160839104325,0.25420206413117874,4.7840736950448015,8.026069916317358
forward,baseline,2.983000000000004,0.12325682320470083,0.12507801358078555,0.20692372450677796,0.24654231847576724,3.4449550350628337,7.096511052356242
forward,bigger,2.9839999999999947,0.1893716793211035,0.18238194700472873,0.21679736951933593,0.3284444103115174,6.153295828896485,10.069487492387692
reverse,baseline,2.9849999999999994,0.1232853210586134,0.13957718096755153,-0.21216352879229816,0.26030526449786306,2.3116868444608283,4.6528183508269505
reverse,bigger,2.9849999999999994,0.1346278121830555,0.15262348785519078,-0.2398166175186634,0.28386631469346796,3.9773168349956385,5.4031709802135035
spin_positive,baseline,4.996000000000009,0.10261530761488295,0.11107299322007791,0.00042173318832577347,0.06804513654354293,1.2535657977953256,4.2329986390580014
spin_positive,bigger,4.9950000000000045,0.1325339657448497,0.11918812692222183,-0.04970785681734107,0.15083776866837253,3.1734155753907882,5.56320871576925
spin_negative,baseline,4.9950000000000045,0.1062560995291923,0.11061106479124808,-0.015310464309762696,0.058220062843574866,1.406544754394936,4.5610756767821625
spin_negative,bigger,4.997,0.14667314406120815,0.12276581440360675,0.03962379426473729,0.17819571045942204,3.309037304485462,6.947364480318905
sine_legs_forward,baseline,3.98899999999999,0.19595989888480078,0.1923596985860457,0.21411907929911414,0.3693734428035231,3.76711172262107,10.842222651684377
sine_legs_forward,bigger,3.9879999999999995,0.21724322843047375,0.20415053991880003,0.21923541330153817,0.41359969052266327,5.326710817531802,10.613992734342048
sine_legs_reverse,baseline,3.9919999999999902,0.12056201627475582,0.1279398308047933,-0.21605162967340008,0.2438277292437831,1.815118511567438,2.91318517748057
sine_legs_reverse,bigger,3.9920000000000044,0.1477978518658621,0.14443895231334122,-0.25364844389551944,0.2853452584230345,3.8397168325055686,5.04787136977861
crossed_asymmetric_hold,baseline,4.995999999999995,0.11480941872996904,0.12704202784137822,-0.05083174312600174,0.23418110706664605,2.5557806978832374,6.319856218249615
crossed_asymmetric_hold,bigger,4.99499999999999,0.11730811303691904,0.1261366810909164,-0.026720079937726706,0.23255629162028132,3.7023970776516513,6.661301643726785
one_leg_sine_forward,baseline,3.989999999999995,0.11509422055837282,0.1216321591781408,0.22029053649301764,0.23291152244270397,2.613369986930124,5.219485422203881
one_leg_sine_forward,bigger,3.9909999999999997,0.1676087023817743,0.17642738017283005,0.19153705227937837,0.3276349481844665,5.212337352924568,10.711877029111147
one_leg_sine_reverse,baseline,3.989999999999995,0.1290571972011293,0.12836663432321768,-0.20725433466683948,0.24847359684730605,1.7221543367394447,3.8171314723843737
one_leg_sine_reverse,bigger,3.9890000000000043,0.14802031932572607,0.16266351009160343,-0.24489442178498158,0.2910880026274365,3.6013185453913144,5.4754732283331435
