Syntax version=4
Thu Jul 02 16:33:06 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		LOG_I_L_cmd_A	LOG_I_L_meas_A	LOG_I_R_cmd_A	LOG_I_R_meas_A	LOG_action_L	LOG_action_R	LOG_obs[0]	LOG_obs[1]	LOG_obs[2]	LOG_obs[3]	LOG_obs[4]	LOG_obs[5]	LOG_obs[6]	LOG_obs[7]	LOG_theta_deg
D:	time(ms)	(0x20000d40,6)	(0x20000d48,6)	(0x20000d44,6)	(0x20000d4c,6)	(0x20000d38,6)	(0x20000d3c,6)	(0x20000d18,6)	(0x20000d1c,6)	(0x20000d20,6)	(0x20000d24,6)	(0x20000d28,6)	(0x20000d2c,6)	(0x20000d30,6)	(0x20000d34,6)	(0x20000d14,6)
D:	0.08	-0.324082	-0.324082	0.500000	0.500000	-0.324082	-0.548692	0.013377	0.000000	-0.379950	-0.004395	0.030071	-0.001953	-0.161023	-0.274495	-9.498753
D:	0.98	-0.324082	-0.324082	0.500000	0.500000	-0.324082	-0.548692	0.013377	0.000000	-0.379950	-0.004395	0.030071	-0.001953	-0.161023	-0.274495	-9.498753
D:	1.85	-0.324082	-0.324082	0.500000	0.500000	-0.324082	-0.548692	0.013377	0.000000	-0.379950	-0.004395	0.030071	-0.001953	-0.161023	-0.274495	-9.498753
D:	2.75	-0.324082	-0.324082	0.500000	0.500000	-0.324082	-0.548692	0.013377	0.000000	-0.379950	-0.004395	0.030071	-0.001953	-0.161023	-0.274495	-9.498753
D:	3.65	-0.324082	-0.324082	0.500000	0.500000	-0.324082	-0.548692	0.013377	0.000000	-0.379950	-0.004395	0.030071	-0.001953	-0.161023	-0.274495	-9.498753
D:	4.52	-0.324082	-0.324082	0.500000	0.500000	-0.324082	-0.548692	0.013377	0.000000	-0.379950	-0.004395	0.030071	-0.001953	-0.161023	-0.274495	-9.498753
D:	5.41	-0.331848	-0.331848	0.500000	0.500000	-0.331848	-0.546343	0.013406	0.000000	-0.380697	-0.004883	0.030036	0.000488	-0.162041	-0.274346	-9.532574
D:	6.36	-0.331848	-0.331848	0.500000	0.500000	-0.331848	-0.546343	0.013406	0.000000	-0.380697	-0.004883	0.030036	0.000488	-0.162041	-0.274346	-9.532574
D:	7.24	-0.331848	-0.331848	0.500000	0.500000	-0.331848	-0.546343	0.013406	0.000000	-0.380697	-0.004883	0.030036	0.000488	-0.162041	-0.274346	-9.532574
